age,matches,totalRuns,battingAverage,strikeRate,fours,sixes,totalWickets,economy,recentForm,consistency,potential
31,51,1478,34.08,110.7,135,38,43,8.37,76.3,53.7,1
30,80,3478,49.18,111.27,257,108,20,7.09,56.75,67.11,1
33,31,1422,43.06,109.87,115,65,60,8.38,57.36,78.64,1
24,28,577,20.85,107.14,41,26,26,8.99,84.51,73.78,0
30,73,2667,33.99,100.33,187,71,56,5.48,54.67,66.26,1
34,69,1710,21.76,107.44,152,47,42,7.39,62.45,72.95,0
32,74,2529,34.94,153.48,277,67,28,6.17,80.07,57.36,1
34,72,2509,41.94,109.22,250,98,20,9.02,53.3,49.03,1
30,29,1248,44.72,94.5,105,44,13,8.75,87.34,64.47,1
18,58,1956,36.69,155.99,182,51,53,6.89,75.04,82.38,1
25,72,1617,27.68,120.51,156,48,25,8.26,95.57,87.03,1
35,13,716,51.74,131.43,83,25,55,7.08,65.85,47.51,1
24,68,2034,31.44,143.29,153,55,16,8.76,86.2,68.52,1
19,54,1778,27.85,94.8,214,86,15,5.9,53.38,46.02,0
22,70,2697,43.43,129.48,209,76,10,7.73,84.51,93.19,1
23,49,1077,23.78,91.8,84,27,25,9.24,77.57,54.92,0
25,23,1096,44.4,111.11,80,30,36,8.52,68.56,62.36,1
29,18,773,37.71,113.89,56,34,23,7.86,83.9,86.44,1
31,32,1327,45.68,157.58,97,43,30,7.09,77.59,86.29,1
28,41,2319,49.08,96.07,238,79,39,8.01,72.19,61.82,1
28,33,1104,37.06,114.84,110,34,56,6.24,97.14,45.51,1
20,40,1994,45.2,124.2,155,60,31,7.02,61.18,45.86,1
30,41,1246,30.72,130.71,106,43,47,7.48,69.96,62.59,1
27,42,1091,28.07,140.49,82,27,44,5.83,71.63,55.82,1
34,46,2295,54.32,148.28,218,88,45,7.4,98.59,58.72,1
35,47,2394,44.41,98.84,209,63,36,6.28,63.74,68.94,1
19,42,2509,52.94,123.44,232,116,40,8.09,89.61,52.59,1
27,20,1211,54.79,98.29,98,33,14,8.49,94.97,64.02,1
27,64,2050,30.69,133.47,155,52,13,7.81,49.47,58.23,0
25,32,1212,39.32,100.96,94,41,2,6.04,83.66,80.35,1
32,19,933,44.06,154.67,75,28,59,5.89,57.36,50.74,1
22,44,1865,48.93,95.0,183,53,36,9.15,70.78,66.96,1
27,61,3224,52.99,125.03,376,155,27,8.31,46.42,75.19,1
25,12,599,54.99,137.06,72,17,30,7.34,60.3,67.11,1
31,72,3739,53.92,122.9,364,169,10,6.48,60.85,79.68,1
30,80,1533,21.28,96.16,173,43,55,7.32,81.17,94.41,0
35,69,2246,34.46,103.13,168,69,48,5.23,52.21,58.35,0
27,66,2722,50.83,123.93,219,75,45,5.71,75.37,72.54,1
20,38,2047,54.73,153.91,232,55,31,9.2,83.8,59.59,1
31,71,3935,54.31,107.06,368,102,32,8.36,48.84,51.83,1
31,53,3151,52.7,125.54,315,121,37,7.61,92.59,78.0,1
32,78,3185,36.95,113.27,299,82,55,5.85,76.45,79.87,1
25,62,1444,21.53,142.13,105,52,42,8.57,53.37,77.6,0
19,26,1121,37.58,131.31,79,38,33,9.1,52.93,45.77,0
22,19,647,36.43,157.84,50,19,54,6.48,74.35,78.72,1
28,72,3010,50.53,92.51,242,78,14,8.36,50.41,66.7,1
21,66,1383,25.82,110.96,134,65,22,6.69,74.21,52.28,0
23,31,771,26.13,132.66,60,25,37,5.64,58.97,68.06,0
26,11,517,51.46,122.57,43,24,60,6.56,80.14,74.38,1
31,42,1813,35.99,111.15,129,81,24,7.57,99.6,73.74,1
27,12,592,54.23,136.08,49,17,47,9.38,85.98,90.53,1
27,39,1696,41.25,114.66,137,50,46,8.45,52.52,79.04,1
21,15,476,30.81,120.86,36,21,18,6.47,56.04,65.78,0
35,56,2446,38.58,153.94,249,67,30,9.35,92.87,59.76,1
21,69,4396,53.7,99.85,313,127,25,9.35,65.12,85.23,1
30,11,304,29.26,98.65,22,12,24,8.7,50.96,92.01,0
25,70,1497,20.88,151.9,103,61,4,7.86,83.56,68.21,0
31,24,550,24.89,156.24,48,25,56,7.42,65.41,64.43,0
35,63,2949,40.56,140.86,234,80,39,6.84,46.8,92.58,1
29,37,1501,35.52,156.54,172,44,34,9.06,48.33,77.24,1
26,34,2069,53.89,156.43,239,85,40,7.69,88.27,46.07,1
25,26,1399,47.54,104.36,117,44,52,8.91,53.12,61.43,1
18,45,1918,50.04,100.13,196,81,42,8.9,64.7,51.59,1
25,51,891,20.55,108.58,81,40,4,7.14,73.23,83.9,0
21,67,2060,37.63,156.18,152,55,33,6.36,46.71,77.17,1
33,61,2311,34.92,97.56,208,60,20,7.74,60.13,48.28,0
35,51,1560,33.33,131.82,135,54,50,8.16,80.8,87.64,1
35,37,1252,35.05,152.17,90,44,46,5.43,81.58,66.34,1
29,29,1068,44.04,123.2,124,37,47,8.32,75.6,85.59,1
35,52,2597,43.45,118.76,178,91,58,8.24,78.02,93.42,1
29,23,983,40.23,104.89,102,44,54,7.5,60.32,50.74,0
25,64,3577,49.58,158.22,290,108,1,7.74,83.14,77.89,1
18,33,1139,29.56,143.37,108,48,9,7.55,52.8,65.04,0
18,21,937,46.11,105.06,90,34,46,6.46,77.79,92.07,1
19,29,791,25.51,133.25,79,23,31,7.73,56.86,65.71,0
34,24,824,32.08,97.76,67,26,19,5.2,77.96,64.76,0
18,36,940,30.55,104.79,96,35,0,0.0,68.69,69.87,0
22,58,2293,38.64,106.11,180,84,25,8.88,46.03,47.12,0
20,50,2175,40.15,130.14,199,97,1,9.35,97.12,53.59,1
32,56,1159,23.08,149.11,95,38,25,8.92,57.19,82.29,0
23,19,722,37.87,97.98,50,26,46,9.31,53.12,77.27,0
21,28,698,28.96,102.14,52,32,60,8.48,86.49,69.71,0
32,51,2204,50.25,133.91,259,76,19,8.58,64.36,74.57,1
20,49,1678,36.16,92.63,167,51,54,5.41,66.15,74.7,1
35,15,568,35.74,146.69,55,19,9,9.31,89.6,67.53,1
28,20,677,37.66,102.08,61,23,33,7.74,95.49,63.19,1
30,62,2397,47.11,137.52,193,89,21,5.43,60.63,78.92,1
22,52,1386,22.85,136.45,136,41,42,6.76,96.59,74.75,1
27,58,2098,42.52,112.99,162,53,43,9.11,81.88,49.67,1
34,56,1364,20.64,111.62,131,38,12,6.02,49.24,51.88,0
21,74,4010,46.98,148.46,485,149,49,7.78,53.48,74.86,1
23,31,1326,45.24,93.06,101,33,39,6.28,69.69,82.43,1
35,40,1217,30.83,146.6,87,44,60,7.57,87.32,67.03,1
30,74,3206,38.46,157.64,235,140,16,5.23,65.42,69.03,1
21,76,4182,49.79,109.95,422,109,9,8.74,95.08,49.59,1
32,54,2721,52.57,119.04,256,98,5,6.69,96.2,46.41,1
28,28,786,24.82,110.08,61,34,45,7.11,94.82,75.77,0
18,42,1360,27.55,100.47,110,47,49,6.3,47.63,60.06,0
31,68,1509,22.2,148.57,128,46,36,6.09,68.61,52.18,0
29,40,1706,39.97,103.11,146,62,33,7.45,72.92,84.32,1
18,59,2848,50.57,93.05,268,81,22,8.55,85.31,62.24,1
21,52,1199,24.67,114.66,95,32,43,7.09,79.75,79.77,0
22,18,660,45.06,156.05,70,18,56,5.19,73.35,91.67,1
35,70,1771,28.87,142.73,168,49,55,7.95,88.96,58.66,1
31,61,2679,46.02,152.62,180,89,31,6.65,59.67,84.86,1
20,64,1644,22.76,132.17,139,62,5,6.48,69.53,59.78,0
31,31,1117,44.14,114.61,79,41,27,6.24,97.13,94.0,1
20,61,2139,32.72,146.08,145,93,38,8.05,51.94,66.91,1
25,56,1487,32.68,156.46,163,51,23,6.67,76.57,83.15,1
34,56,1709,33.93,135.47,194,49,31,7.33,51.48,90.68,1
26,67,1986,27.51,132.83,132,82,8,8.84,94.43,67.6,1
32,21,1213,48.37,157.73,95,35,35,7.44,91.82,89.57,1
23,56,1864,37.81,98.5,207,52,1,6.62,70.71,73.61,1
35,26,994,41.42,96.04,66,28,33,6.85,76.62,65.47,1
22,50,2277,42.48,121.5,218,60,49,7.48,87.23,74.39,1
22,65,2767,37.6,150.77,237,106,10,6.45,64.03,80.47,1
34,46,2405,49.61,107.54,202,106,19,7.76,80.25,49.67,1
22,31,1390,43.06,140.44,100,44,52,8.89,97.17,49.06,1
26,36,1779,46.84,119.16,154,54,18,7.89,58.47,60.1,1
30,48,1486,35.87,138.2,136,50,21,7.73,84.51,60.63,1
29,61,1536,24.58,115.94,150,52,17,7.02,47.78,52.04,0
30,63,1561,28.69,150.57,151,49,20,5.85,99.78,52.97,1
32,73,3098,50.77,124.82,288,106,15,5.97,47.78,62.64,1
33,70,1770,30.0,90.57,198,69,23,8.44,67.03,63.3,0
35,34,1060,32.69,110.2,95,34,52,9.45,51.53,79.02,0
21,60,2029,33.06,159.08,192,88,38,7.29,47.49,70.0,1
22,52,2151,48.14,126.35,150,94,59,7.76,99.48,53.13,1
27,53,1993,37.76,125.68,166,67,1,6.66,98.89,78.69,1
27,13,564,40.89,108.59,38,17,14,8.25,54.38,74.18,0
30,28,1404,48.76,106.95,108,58,28,6.41,82.98,52.57,1
31,74,4006,47.12,154.44,304,188,8,7.33,99.9,73.04,1
33,77,2514,33.19,156.97,214,81,43,8.47,80.38,81.05,1
26,71,1941,26.73,107.26,202,49,19,8.47,82.96,80.25,0
33,50,2159,36.79,129.23,165,83,36,8.04,98.91,63.98,1
29,28,917,30.17,110.13,87,31,16,8.36,90.54,55.7,0
26,44,1129,24.8,133.1,116,33,33,6.02,50.51,56.64,0
28,70,1320,23.52,143.95,111,34,26,7.94,71.16,89.03,1
24,46,1671,31.24,135.21,193,53,34,8.32,47.05,87.52,1
23,63,3743,50.88,102.31,249,133,31,5.84,92.98,82.45,1
27,14,239,20.32,129.76,16,9,41,7.44,96.62,69.7,0
34,69,1900,29.55,146.62,144,57,45,5.84,88.49,81.83,1
24,32,1274,41.38,134.71,115,47,25,8.01,52.73,54.24,1
28,41,812,20.24,116.85,82,30,37,8.25,80.95,45.57,0
25,17,636,43.37,122.58,49,16,56,8.17,51.46,60.55,1
27,57,2019,41.51,105.34,222,57,38,6.68,95.2,80.1,1
35,37,1792,46.67,137.62,132,58,33,8.17,76.03,48.91,1
19,80,4188,51.6,104.15,457,112,28,5.52,77.07,55.27,1
20,75,2276,35.59,93.89,208,72,35,7.08,84.78,85.35,1
30,42,2104,48.58,142.21,252,78,4,7.44,94.18,48.01,1
33,14,359,30.05,102.6,28,10,26,6.69,69.67,89.57,0
30,58,1521,22.81,157.49,170,40,7,5.8,74.09,71.86,0
25,10,457,46.47,158.49,35,16,24,8.71,64.04,57.38,1
26,34,1517,52.81,140.75,111,53,49,9.21,58.24,89.45,1
20,22,959,40.79,121.25,67,38,2,6.81,56.95,56.72,0
19,27,1144,37.64,110.25,87,43,38,8.48,58.03,85.92,1
22,76,1737,27.74,111.04,118,46,58,5.79,75.57,78.94,1
19,54,3186,52.96,136.99,311,112,9,6.35,74.59,54.19,1
25,38,1302,30.53,139.53,90,41,26,7.51,58.36,51.7,0
24,52,2524,42.63,154.56,291,73,12,5.23,78.27,63.86,1
19,19,550,26.59,143.32,46,18,55,9.08,94.99,60.16,1
24,34,2189,53.67,98.21,192,88,38,8.17,58.16,64.83,1
28,46,1446,33.32,127.36,147,47,31,7.1,84.73,85.14,1
28,36,1216,32.97,118.98,127,53,16,7.49,84.6,74.2,1
27,29,800,26.87,106.1,82,25,60,8.08,90.19,57.87,0
33,68,1527,25.89,145.65,117,51,58,9.0,97.65,94.52,1
34,14,779,49.37,95.2,93,38,8,8.79,83.89,56.57,1
18,37,1460,37.7,116.12,115,45,30,7.97,74.27,45.79,1
31,11,229,20.59,140.55,22,7,44,8.03,95.04,85.31,0
21,22,884,38.35,106.87,90,32,50,6.79,67.33,63.65,1
25,38,964,30.5,147.96,64,29,2,5.42,75.4,63.96,0
19,11,558,44.6,95.79,44,20,54,9.38,95.55,89.74,1
25,37,1957,51.54,138.46,197,50,43,9.17,75.99,89.97,1
19,32,1990,52.51,112.01,164,56,45,8.69,61.46,91.44,1
25,59,2458,43.7,127.84,186,68,44,8.26,98.59,70.04,1
19,22,727,35.3,148.71,54,18,25,9.36,79.88,61.32,1
32,72,1914,27.98,128.71,205,60,24,5.39,88.89,75.93,1
20,20,654,29.38,116.6,72,23,23,5.48,61.95,45.26,0
29,44,1008,23.58,96.11,84,33,6,5.12,50.12,62.7,0
28,59,1339,20.43,118.97,102,42,15,7.57,65.94,53.48,0
22,44,1109,30.54,124.52,100,39,30,8.52,96.93,63.06,1
33,35,1012,36.03,99.48,93,27,24,8.62,63.41,61.48,0
22,48,1319,31.22,156.31,129,33,20,6.31,72.01,79.75,1
25,51,1618,33.16,147.15,183,51,37,9.49,87.22,54.0,1
18,69,4092,53.0,104.68,296,191,54,8.58,72.46,65.46,1
27,40,1118,28.84,100.79,105,38,38,7.16,72.86,65.04,0
31,79,1817,21.29,157.79,132,57,58,5.38,81.17,83.45,1
29,31,1577,42.64,93.1,123,56,48,6.49,50.83,84.81,1
21,43,1221,27.77,142.28,95,49,23,6.76,77.37,83.62,1
34,29,782,32.07,91.72,71,19,7,8.74,64.16,81.51,0
28,68,3030,47.45,126.48,348,87,28,6.44,89.56,60.01,1
21,12,638,49.72,135.36,69,16,15,7.32,63.2,72.6,1
31,69,1694,28.11,118.35,135,59,1,8.32,69.73,89.15,0
31,59,1083,20.16,105.04,83,30,36,5.46,55.28,88.6,0
28,35,1443,36.01,108.36,123,44,38,6.75,51.28,64.63,0
29,68,3062,41.61,146.96,303,94,5,8.02,58.12,60.66,1
21,33,1042,33.07,99.9,85,33,27,5.84,83.14,76.78,0
23,31,1065,37.14,99.82,95,50,22,9.28,55.73,69.23,0
30,74,3161,42.86,118.64,243,109,10,5.37,86.86,46.54,1
27,14,359,29.62,127.63,32,10,49,7.23,76.5,70.54,0
26,79,4353,48.81,115.68,525,126,34,5.98,85.48,66.26,1
25,48,2199,50.62,92.26,156,101,55,9.47,58.03,83.78,1
29,64,1457,25.81,99.75,154,68,22,7.4,54.26,74.84,0
27,47,1893,40.05,156.67,132,52,8,9.33,95.53,84.28,1
26,26,994,44.55,99.29,96,39,53,8.04,76.76,69.47,1
26,63,2333,33.13,95.29,174,83,47,6.25,65.3,91.82,1
33,51,2344,40.37,150.82,270,59,40,7.99,48.48,62.91,1
35,60,1466,27.62,120.08,148,40,21,7.46,91.88,51.53,0
28,16,392,21.61,133.83,48,10,10,6.99,97.69,45.03,0
24,26,1521,50.88,111.13,107,69,23,6.13,94.71,63.59,1
23,16,585,33.87,111.39,60,17,45,5.43,49.29,55.67,0
25,76,3589,43.8,90.65,261,90,27,8.12,57.59,68.89,1
20,23,499,23.61,115.73,46,13,55,5.6,52.86,94.65,0
34,11,427,41.36,101.49,44,12,58,6.85,92.3,79.33,1
20,22,598,24.9,98.62,57,20,50,5.63,49.63,58.85,0
35,46,2476,47.26,138.33,196,95,33,7.73,66.55,54.43,1
19,40,1492,37.32,97.89,122,48,0,0.0,96.37,94.34,1
22,59,2798,50.13,129.79,218,79,49,5.33,45.76,74.37,1
24,15,752,52.29,156.41,75,21,49,6.87,49.53,80.09,1
35,78,2995,41.56,109.42,258,124,51,5.7,77.25,61.34,1
20,49,2479,44.45,141.1,294,114,27,5.52,48.03,75.61,1
23,25,411,20.44,99.6,35,15,33,8.52,54.18,81.04,0
22,44,2329,45.65,98.26,225,81,33,5.29,76.72,80.62,1
20,73,2622,35.93,115.21,219,95,16,8.48,82.08,89.71,1
21,39,2048,45.93,90.18,253,97,23,6.72,96.21,52.5,1
19,80,4088,48.11,139.98,427,163,58,8.24,49.28,58.56,1
29,25,818,37.57,153.14,60,20,25,5.31,60.53,68.25,1
27,51,1112,23.02,121.97,110,31,47,7.8,77.54,68.2,0
33,35,1786,45.64,128.26,197,46,1,6.05,91.18,62.32,1
18,52,1188,20.05,136.01,90,53,33,9.42,97.87,65.99,0
22,45,1213,23.26,154.49,104,35,23,7.06,76.94,82.39,1
34,27,1184,42.3,117.6,140,35,8,6.07,62.33,58.05,1
30,51,1317,31.13,109.04,139,36,37,5.49,69.73,50.28,0
28,62,1664,24.23,115.08,149,56,54,5.54,82.73,52.88,0
19,37,1524,49.26,112.95,156,56,32,5.22,90.1,59.94,1
23,13,708,53.32,149.82,59,32,6,8.62,45.66,51.99,1
25,26,752,26.93,118.04,51,34,37,6.16,46.2,85.64,0
20,35,1537,51.59,121.04,107,42,21,5.55,47.79,92.11,1
31,60,2175,37.36,116.79,207,56,17,6.26,46.91,89.17,1
25,47,1745,37.46,151.79,202,63,26,5.9,73.92,89.23,1
35,12,618,54.63,144.73,52,20,58,7.55,59.87,61.08,1
18,50,2299,40.9,92.05,230,63,30,7.38,99.98,83.34,1
23,22,639,28.67,106.88,47,18,48,9.48,91.56,55.97,0
30,55,2521,52.73,159.41,261,95,47,8.14,46.55,90.7,1
29,28,1328,39.71,103.18,93,44,19,5.79,48.09,46.9,0
25,12,538,38.43,90.05,57,23,45,5.8,92.75,85.12,1
19,12,258,25.17,139.33,29,8,23,9.32,96.81,63.68,0
30,22,832,31.78,112.58,63,28,40,9.32,54.58,77.46,0
35,55,1330,27.81,131.23,131,39,8,5.8,83.61,45.09,0
30,14,414,26.37,112.28,33,12,6,9.22,85.99,52.03,0
25,54,3389,54.38,101.75,393,99,40,8.28,45.63,61.79,1
24,41,2022,44.26,114.53,155,96,28,8.3,93.65,93.46,1
33,58,2119,32.29,116.27,156,67,48,8.09,49.05,53.13,0
19,47,819,20.7,108.28,78,21,10,8.29,94.4,72.35,0
20,53,2146,40.79,132.96,261,55,10,7.73,47.95,66.71,1
28,36,1989,54.1,118.65,137,64,42,6.27,47.73,56.88,1
35,72,1774,25.38,115.26,176,53,38,7.16,56.38,49.85,0
27,20,814,36.57,98.09,72,21,16,5.41,55.17,72.21,0
30,57,1475,26.53,93.12,149,40,36,5.28,81.71,82.61,0
20,54,2875,48.29,118.98,299,135,24,8.68,74.45,65.93,1
33,40,1703,36.67,95.53,130,56,57,7.33,99.05,73.57,1
22,25,1569,53.22,121.43,171,64,12,5.57,99.36,66.17,1
31,35,2178,54.9,133.91,222,56,58,8.63,75.6,49.35,1
35,51,2974,49.98,126.38,367,87,37,7.35,67.79,65.98,1
22,22,968,52.37,129.39,96,31,22,8.95,81.01,58.21,1
33,14,381,26.03,118.21,29,13,25,9.0,58.07,61.57,0
33,44,2548,51.4,91.42,251,99,31,8.86,98.49,79.24,1
25,27,914,30.52,142.06,89,26,38,7.9,56.63,54.4,0
31,72,3784,46.58,150.7,326,163,19,8.19,87.93,65.17,1
34,13,298,26.08,151.26,35,14,3,9.13,60.07,80.23,0
32,74,2689,33.89,154.62,277,90,28,5.8,77.28,88.52,1
29,54,1527,25.72,152.61,119,59,24,5.22,87.89,87.69,1
24,38,1471,42.66,137.44,135,72,49,9.35,71.08,79.11,1
22,32,1183,41.04,90.59,86,45,45,7.89,65.71,66.19,1
29,68,2098,28.82,122.67,152,75,6,5.03,98.16,94.97,1
29,46,1156,30.45,97.57,77,35,55,6.25,97.37,77.81,1
27,34,995,25.25,143.58,72,27,38,6.82,52.7,60.98,0
18,73,3877,54.91,108.16,361,187,45,9.48,63.87,85.8,1
25,78,3884,42.34,123.3,369,149,10,8.78,54.96,88.82,1
21,70,1924,24.48,108.11,144,81,43,9.05,57.22,77.72,0
25,49,1613,34.72,152.08,133,55,7,7.12,77.1,88.32,1
20,70,4105,51.13,125.03,384,158,3,8.92,99.58,52.54,1
28,62,4040,54.55,152.5,448,108,11,8.51,79.71,69.38,1
23,50,1919,42.21,90.33,143,82,48,5.71,87.89,84.26,1
22,65,3251,42.17,118.24,304,156,12,8.29,94.06,92.5,1
34,34,766,20.63,90.29,79,20,19,5.58,77.38,64.18,0
23,18,805,48.83,110.87,61,25,21,6.95,52.36,79.34,1
33,55,2957,46.25,101.54,216,145,14,8.27,85.37,51.56,1
34,31,841,24.31,139.78,79,25,49,7.41,99.71,47.43,0
21,12,254,21.69,98.11,28,10,44,5.69,79.67,79.76,0
27,63,2468,43.16,136.37,201,108,53,9.04,78.97,70.58,1
27,24,1188,47.47,124.84,88,32,12,6.61,53.82,65.49,1
35,73,3756,51.86,138.17,389,185,5,9.08,81.8,86.76,1
22,21,1081,47.28,95.25,75,32,29,9.45,70.54,59.8,1
21,32,1528,50.59,149.66,119,53,7,5.43,47.52,82.91,1
22,31,1154,31.5,152.62,116,33,23,8.67,67.04,54.14,1
32,44,2148,49.25,138.29,196,56,10,5.51,48.23,79.81,1
23,23,890,34.56,131.35,69,37,24,8.51,92.44,75.57,1
22,71,3575,52.21,97.91,429,141,20,5.06,73.86,88.42,1
25,53,2118,38.17,138.18,192,61,30,6.56,66.17,78.81,1
35,16,327,20.41,155.41,28,10,10,5.34,58.25,69.58,0
26,16,574,37.74,128.53,41,26,28,8.61,92.11,67.4,1
32,50,1281,24.15,124.82,146,45,35,7.47,88.55,86.3,1
27,75,2923,39.68,135.82,281,80,52,6.0,75.81,67.72,1
33,56,2785,45.06,97.98,291,103,53,7.85,75.12,85.0,1
29,23,425,21.6,101.49,32,12,6,6.14,51.64,54.8,0
30,37,1447,36.0,144.7,165,51,59,7.85,51.78,78.61,1
32,68,2499,43.05,156.93,217,81,3,7.49,77.18,66.64,1
34,32,1593,44.21,102.16,182,48,38,8.97,66.16,70.21,1
25,45,1401,33.93,114.0,102,61,38,8.15,61.44,82.42,1
35,50,2365,44.92,155.49,251,72,18,8.09,52.3,91.06,1
23,74,3128,38.99,134.58,234,100,37,7.57,67.96,78.36,1
35,46,1878,50.71,119.57,214,68,3,8.02,86.26,55.0,1
23,46,1666,43.92,100.25,123,69,34,5.15,50.64,85.7,1
35,38,1563,45.98,129.29,115,43,18,8.12,65.99,47.35,1
31,50,2952,53.8,93.77,313,78,55,8.92,95.13,86.5,1
29,79,3948,45.85,103.75,422,136,43,5.34,85.43,93.12,1
21,58,1125,21.42,109.54,123,30,0,0.0,84.03,61.53,0
22,15,312,25.38,112.58,21,9,42,6.36,75.26,84.5,0
20,50,1935,38.39,156.99,143,83,34,7.42,57.17,49.6,1
24,52,1938,31.59,110.55,157,65,35,8.71,45.48,94.06,0
29,67,2222,28.41,134.96,228,106,56,6.44,96.97,90.8,1
30,42,1903,38.91,109.8,138,69,51,7.29,61.3,69.34,1
24,51,1679,37.99,156.37,114,54,0,0.0,56.59,76.35,1
24,64,3566,49.25,104.39,252,102,27,7.91,86.08,91.99,1
22,13,391,36.07,113.22,46,10,35,5.32,95.1,86.08,1
31,59,1956,35.79,118.31,182,87,0,0.0,79.01,77.07,1
19,19,565,32.52,125.2,44,17,18,8.44,66.73,66.88,0
18,70,1958,25.47,105.39,144,52,18,9.32,82.25,52.2,0
29,11,367,39.37,128.85,45,11,34,7.46,56.55,49.26,0
29,37,1280,34.44,135.22,140,52,53,6.14,81.9,50.73,1
19,80,2649,36.14,128.48,312,120,46,7.61,64.64,92.58,1
25,22,578,29.98,94.89,50,21,42,6.38,76.11,74.21,0
29,50,2477,53.55,101.8,183,72,41,6.96,52.39,87.01,1
28,71,2370,36.2,115.11,199,100,38,5.37,90.45,59.03,1
35,35,849,29.21,152.04,99,41,32,7.84,76.84,85.63,1
24,14,660,39.31,128.04,58,18,23,6.77,77.43,89.57,1
27,27,938,36.26,125.73,81,28,54,9.34,82.63,94.09,1
34,27,1134,35.62,102.54,89,28,47,8.29,47.22,91.96,0
33,39,707,22.2,115.86,74,18,23,6.75,93.49,90.9,0
19,51,1268,23.61,157.79,127,36,37,7.45,80.95,53.69,1
29,19,841,38.08,116.34,72,31,55,6.55,93.79,84.63,1
18,74,3357,50.87,120.79,289,131,9,5.84,84.45,63.11,1
21,39,1137,34.51,113.12,89,38,37,5.73,46.23,86.67,0
19,26,1095,40.07,101.28,132,34,3,5.75,73.42,91.12,1
30,12,687,50.75,140.96,46,28,38,9.47,54.38,88.37,1
31,28,1168,47.81,147.43,92,46,46,8.09,77.81,91.12,1
20,39,1045,33.24,99.25,89,27,43,6.89,50.3,52.48,0
33,14,781,50.72,127.2,90,23,57,7.72,94.33,86.38,1
31,76,2847,34.72,151.24,258,73,30,8.55,77.4,64.06,1
21,64,1411,24.69,123.4,100,54,56,7.45,45.3,57.89,0
18,76,1946,24.12,90.5,151,73,23,5.48,77.2,66.3,0
26,78,2472,34.82,115.6,193,70,26,7.48,54.83,72.88,1
35,71,1922,28.88,111.47,148,55,54,8.89,57.64,50.95,0
23,22,566,27.51,118.04,47,16,45,5.23,79.97,64.46,0
20,28,853,36.51,132.02,86,31,38,5.17,99.14,64.22,1
34,46,2434,44.91,131.82,177,74,28,5.05,96.19,87.53,1
34,46,1238,26.82,144.88,96,38,43,5.16,45.02,56.96,0
23,21,1084,54.89,144.58,100,34,33,5.07,95.55,80.18,1
35,46,2158,45.41,129.14,206,59,14,7.73,96.13,54.73,1
18,43,1149,26.13,125.44,99,42,7,8.61,93.19,92.84,0
26,66,3934,53.81,129.42,295,100,29,8.07,92.41,89.83,1
